Title,Date
"Friends: Temporada 9: Aquele em que ninguém faz o pedido","20/12/2020"
"Friends: Aquele onde tudo começou","20/12/2020"
"O Gambito da Rainha: Minissérie: Aberturas","13/12/2020"
"O Juiz","12/12/2020"
"Shrek Bate o Sino","06/12/2020"
"Tudo Bem No Natal Que Vem","05/12/2020"
"Explicando - A Mente: Temporada 1: Meditação","05/12/2020"
"Explicando - A Mente: Temporada 1: Ansiedade","05/12/2020"
"Explicando - A Mente: Temporada 1: Sonhos","05/12/2020"
"Explicando - A Mente: Temporada 1: Memória","05/12/2020"
